horse,track,race_number,race_date,tipster,next_best_bet,value_bet,best_bet,career_3rds,spells_secondup_3rd,career_2nds,spells_firstup_1st,spells_firstup_place,spells_thirdup_odds,spells_thirdup_1st,career_places,spells_secondup_1st,earnings,twelve_months_wins,spells_thirdup_roi,twelve_months_odds,spells_thirdup_place,twelve_months_1sts,career_1sts,career_roi,twelve_months_starts,spells_thirdup_3rd,twelve_months_2nds,spells_thirdup_win,career_wins,spells_secondup_roi,spells_secondup_starts,career_odds,spells_secondup_2nd,age_in_years,career_starts,spells_firstup_win,spells_firstup_2nd,rating,spells_secondup_win,twelve_months_roi,trainer,spells_secondup_place,spells_thirdup_starts,twelve_months_3rds,spells_firstup_starts,spells_secondup_odds,twelve_months_places,spells_firstup_odds,spells_firstup_roi,spells_firstup_3rd,spells_thirdup_2nd,money
Our Red Dog,Mildura,3,2016-04-04,1,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,3600.0,0.0,100.0,0.0,0.5,0.0,0.0,100.0,3.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,999.0,0.0,1.0,Paul Preusker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,False
Mount Perry,Ballina,8,2016-04-05,1,False,False,False,4.0,0.0,1.0,1.0,0.2,0.0,0.0,0.34,2.0,44600.0,0.24,100.0,4.53,0.0,3.0,5.0,22.0,13.0,0.0,1.0,0.0,0.17,265.0,2.0,7.32,0.0,0.0,30.0,0.2,0.0,58.0,0.5,0.05,Mark Palmer,0.5,0.0,1.0,1.0,7.3,0.39,11.0,120.0,0.0,0.0,False
Tumbler,Ballina,4,2016-04-05,1,False,False,False,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,69000.0,0.84,100.0,2.49,1.0,5.0,5.0,107.0,6.0,0.0,1.0,1.0,0.84,0.0,1.0,2.49,1.0,5.0,6.0,1.0,0.0,75.0,0.5,1.07,Barry Lockwood,1.0,1.0,0.0,2.0,2.0,1.0,3.6,260.0,0.0,0.0,True
Dupair,Ballina,2,2016-04-05,1,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,4600.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,999.0,0.0,1.0,Kris Lees,1.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,0.0,0.0,False
Brooklyn Storm,Warwick Farm,6,2016-04-06,1,False,False,False,3.0,1.0,4.0,0.0,0.67,0.0,0.0,0.69,1.0,130000.0,0.28,100.0,3.5,0.67,3.0,4.0,22.0,11.0,0.0,2.0,0.0,0.25,33.0,1.0,3.1,0.0,5.0,16.0,0.0,2.0,76.0,0.34,0.05,Bjorn Baker,0.67,0.0,2.0,0.0,4.0,0.64,0.0,100.0,0.0,2.0,False
Tremezzina,Warwick Farm,4,2016-04-06,1,False,False,False,0.0,0.0,1.0,1.0,0.34,4.4,1.0,0.19,0.0,91200.0,0.09,47.0,4.4,0.34,1.0,2.0,56.0,12.0,0.0,1.0,0.34,0.13,100.0,0.0,3.55,0.0,4.0,16.0,0.34,0.0,69.0,0.0,0.63,Chris Waller,0.0,1.0,0.0,1.0,0.0,0.17,2.7,10.0,0.0,0.0,False
Aspen Star,Warwick Farm,2,2016-04-06,1,False,False,False,6.0,1.0,3.0,0.0,0.34,0.0,0.0,0.56,0.0,59900.0,0.1,100.0,4.0,0.34,1.0,1.0,78.0,11.0,1.0,3.0,0.0,0.06,100.0,0.0,4.0,1.0,0.0,18.0,0.0,0.0,62.0,0.0,0.64,James Cummings,0.67,0.0,2.0,0.0,0.0,0.55,0.0,100.0,1.0,0.0,False
Magic Diamond,Wyong,6,2016-04-07,1,False,False,False,1.0,1.0,4.0,1.0,0.75,2.2,1.0,0.54,0.0,65900.0,0.29,45.0,2.65,0.5,2.0,2.0,59.0,7.0,0.0,2.0,0.25,0.16,100.0,0.0,2.65,1.0,4.0,13.0,0.25,2.0,71.0,0.0,0.24,Matthew Dunn,0.5,1.0,1.0,1.0,0.0,0.72,3.1,22.0,0.0,1.0,False
Shoepeg,Wyong,4,2016-04-07,1,False,False,False,3.0,1.0,2.0,1.0,0.75,0.0,0.0,0.59,0.0,69000.0,0.23,100.0,9.3,0.5,2.0,2.0,55.0,9.0,1.0,2.0,0.0,0.17,100.0,0.0,9.3,0.0,4.0,12.0,0.25,1.0,70.0,0.0,1.07,John O'Shea,0.25,0.0,3.0,1.0,0.0,0.78,14.0,250.0,1.0,0.0,False
Ziganui,Canberra,4,2016-04-08,1,False,False,False,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.88,1.0,67300.0,0.43,100.0,3.03,1.0,3.0,4.0,151.0,7.0,1.0,0.0,0.0,0.5,200.0,1.0,5.03,0.0,4.0,8.0,0.67,0.0,69.0,1.0,0.3,Keith Dryden & Scott Collings,1.0,0.0,3.0,2.0,3.0,0.86,6.9,360.0,1.0,0.0,False
Mixed Blossom,Canberra,1,2016-04-08,1,False,False,False,1.0,1.0,0.0,3.0,0.75,0.0,0.0,0.46,1.0,68200.0,0.38,100.0,2.45,0.0,3.0,4.0,49.0,8.0,0.0,0.0,0.0,0.37,33.0,1.0,4.09,0.0,0.0,11.0,0.75,0.0,69.0,0.34,0.08,Gratz Vella,0.67,0.0,1.0,3.0,2.0,0.5,4.78,259.0,0.0,0.0,False
Kenjorwood,Sandown-Hillside,9,2016-04-09,1,False,False,False,7.0,2.0,10.0,1.0,0.38,2.4,1.0,0.6,1.0,686000.0,0.25,66.0,4.08,0.86,3.0,10.0,9.0,12.0,0.0,2.0,0.15,0.23,47.0,1.0,4.91,0.0,7.0,45.0,0.13,1.0,107.0,0.15,0.02,Darren Weir,0.43,1.0,1.0,1.0,3.7,0.5,9.3,16.0,1.0,5.0,False
